id,screen_name,friends_count,followers_count,self_description
987511861905047552,7EbR8VP5MnZ1zsx,46,9,関西ジャニーズJr. NEWS King ＆ Prince Hey! Say! JUMP ジャニーズJr. #河西李玖 #夜神利汰 #リくリた #WingPeace🐻👑🐼📛FUNKY MONKEY BABYS
989521714743672834,youtube_741,101,11,YouTube垢 / 新しいの / LJK / フォローしてるYouTuber全員好きです。 / フォロバ100！
4803161688,Nishimura_Ryugo,35,3,北京生まれ、上海育ちでインターに行ってる日本人。中国鯖でついこないだplat 2に到達しました〜。１５歳｜MadEmperor ファン
970965071500230663,HORN__L,26,0,
868423857257959424,twEiF8hWJ0MQJVC,77,1,
988776542703566850,EQeE6Du17xeDuvY,266,39,横浜住み  美味しいものとお風呂好き
1592173249,raraorange92,464,482,立教/観光☺︎REX 関東sivio11th♡ 邦ロック [Alexandros]、WOMCADOLE、LAMP IN TERREN 、mol-74♡
3892236620,ikuto_katano,360,2594,Kscwellnessfc#65/常盤中3-5→Ｓ高校１ｰH
886794162804215808,kntrdisk_301,245,32,————ᵕ̈*♡MEN’S NON-NOモデルズ♡ᵕ̈*——— BEST☞\\守屋光治・清原翔・原修三郎・中川大輔// ——👑坂口さん家の健太郎さんは殿堂入り👑——♡♡Girls☞桐谷美玲・佐藤ありさ・佐藤 栞里♡♡ YouTuber☞🐰スカイピース🐴・はなおくん🍅・パオチャン🐘・東海🌤・水ボン💦
718025937556668416,RudAJYQc0v9md4i,196,13,
989505788333903872,tAsqadaX8ViEbdW,8,0,言いたい放題のLJKです。なかなかのクズです。俗に言う裏垢なるものです。
983337553989320707,maP4OuFGmfBlEmK,21,6,
228239123,kumoya145_1201,176,178,鉄道・飛行機・Youtube・料理が好きです。
2625857574,0eh387530053,423,621,
833674061460811776,koriko_hby134,330,62,趣味垢です！どうでもいいこと呟く時もあります。すとぷり┊︎sou┊︎InvaderＴ┊︎runa┊︎miro┊︎HoneyWorks┊︎浦島坂田船┊︎柘榴┊︎米津玄師┊︎Aimer 本垢 ☞ {@nekorinko_oOoOo}
988797417171574784,nikotynmaaku,83,10,関西✈ひまじん☺︎
982266903434440704,aP5VVbohYfnlO6O,6,0,しゅみあか。
986463151129440256,mura03231,72,2,
953612485642170368,2018_flyhigh,25,0,
989129233850032128,ysk_miya,179,15,な ん ば ~ 🐶 で お ん り ~ 🐶 な 淑 希 く ん 💓
805053472898809856,Rei_0901_,113,173,01''09.01 (16)｜🇰🇷｜''10.04''❤︎
989454812344283136,p_q__8,12,0,静岡トカゲーランド飼育員(23) aikoとコムアイとトカゲとYouTubeが好きです。気軽にフォローして下さい😊無言フォローすみません。
986566731459059712,tNOGtLndxSR1E9z,73,50,"如是→高北    
スカイピース，MrsGREENAAPL"
963484551950430208,pikapika_0415,56,56,光幼稚園↛香櫨園小➪浜中70thNEXT↛芦屋学園/1-E⚠️ここ重要 →ツイートつまんないのでﾖﾛ(｀・ω・´)ｽｸ！ 塩対応多めʬʬʬʬʬʬʬʬʬʬ
841213303661576196,xxxNatume,104,29,ゲームばっかりやってます。アイマス好き。二宮飛鳥が好きです。RT多め。フォローの際はよく考えてください。興味のある方を無言でフォローします。
954752004445753344,UFer_yuna4,797,184,YouTube垢/FJK/15歳/VAZ/あるてぃめっとよにん！/ハクマイン/かすろあこなん/禁断ボーイズ/PiMS/金欠デイズ/VAZMart/Vine/ねぎさん＿（@Negiryo_o）推してます💕
989459475772858368,beni51123,34,10,"へんふぁみ･ぽたちょあ･かとまにあ
あみしぃ
#ハッピーダイエッター"
974990967462707205,Yrika0909,256,151,川東生😚 歌い手さんとか踊り手さん好きだよ～！よろしく👍
